t,count,max,mean,min,stddev,p50,p75,p95,p98,p99,p999
1574466822,25,13,3.720000,2,2.170253,3.000000,4.000000,10.600000,13.000000,13.000000,13.000000
1574466823,49,187,26.750000,2,52.311151,3.000000,9.000000,177.750000,187.000000,187.000000,187.000000
1574466824,74,3,2.000000,1,0.408248,2.000000,2.000000,3.000000,3.000000,3.000000,3.000000
1574466825,98,3,2.083333,1,0.408248,2.000000,2.000000,3.000000,3.000000,3.000000,3.000000
1574466826,123,3,2.280000,2,0.458258,2.000000,3.000000,3.000000,3.000000,3.000000,3.000000
1574466827,147,4,2.375000,2,0.575779,2.000000,3.000000,3.750000,4.000000,4.000000,4.000000
1574466828,172,3,2.320000,2,0.476095,2.000000,3.000000,3.000000,3.000000,3.000000,3.000000
1574466829,196,3,2.208333,2,0.414851,2.000000,2.000000,3.000000,3.000000,3.000000,3.000000
1574466830,221,3,2.360000,2,0.489898,2.000000,3.000000,3.000000,3.000000,3.000000,3.000000
1574466831,246,3,2.320000,1,0.556776,2.000000,3.000000,3.000000,3.000000,3.000000,3.000000
1574466832,270,3,2.250000,1,0.607919,2.000000,3.000000,3.000000,3.000000,3.000000,3.000000
1574466833,295,3,2.080000,2,0.276887,2.000000,2.000000,3.000000,3.000000,3.000000,3.000000
1574466834,319,3,2.333333,2,0.481543,2.000000,3.000000,3.000000,3.000000,3.000000,3.000000
1574466835,344,3,2.280000,2,0.458258,2.000000,3.000000,3.000000,3.000000,3.000000,3.000000
1574466836,369,3,2.360000,2,0.489898,2.000000,3.000000,3.000000,3.000000,3.000000,3.000000
1574466837,393,4,2.291667,2,0.550033,2.000000,2.750000,3.750000,4.000000,4.000000,4.000000
1574466838,418,3,2.000000,1,0.500000,2.000000,2.000000,3.000000,3.000000,3.000000,3.000000
1574466839,442,3,2.166667,1,0.637022,2.000000,3.000000,3.000000,3.000000,3.000000,3.000000
1574466840,467,3,2.160000,1,0.553775,2.000000,2.500000,3.000000,3.000000,3.000000,3.000000
1574466841,492,3,2.120000,1,0.525991,2.000000,2.000000,3.000000,3.000000,3.000000,3.000000
1574466842,516,3,2.166667,1,0.564660,2.000000,2.750000,3.000000,3.000000,3.000000,3.000000
1574466843,541,3,2.120000,1,0.439697,2.000000,2.000000,3.000000,3.000000,3.000000,3.000000
1574466844,566,3,2.080000,1,0.571548,2.000000,2.000000,3.000000,3.000000,3.000000,3.000000
1574466845,590,3,2.166667,1,0.481543,2.000000,2.000000,3.000000,3.000000,3.000000,3.000000
1574466846,615,7,2.640000,1,1.287116,2.000000,3.000000,6.700000,7.000000,7.000000,7.000000
1574466847,640,3,2.160000,1,0.472582,2.000000,2.000000,3.000000,3.000000,3.000000,3.000000
1574466848,664,2,1.833333,1,0.380693,2.000000,2.000000,2.000000,2.000000,2.000000,2.000000
1574466849,689,3,1.800000,1,0.500000,2.000000,2.000000,2.700000,3.000000,3.000000,3.000000
1574466850,714,3,1.800000,1,0.500000,2.000000,2.000000,2.700000,3.000000,3.000000,3.000000
1574466851,739,4,2.320000,2,0.556776,2.000000,3.000000,3.700000,4.000000,4.000000,4.000000
1574466852,763,3,2.041667,1,0.550033,2.000000,2.000000,3.000000,3.000000,3.000000,3.000000
