t,count,max,mean,min,stddev,p50,p75,p95,p98,p99,p999
1574464787,25,192,29.080000,2,54.988575,3.000000,20.000000,182.700000,192.000000,192.000000,192.000000
1574464788,49,3,2.291667,1,0.550033,2.000000,3.000000,3.000000,3.000000,3.000000,3.000000
1574464789,74,3,1.960000,1,0.538516,2.000000,2.000000,3.000000,3.000000,3.000000,3.000000
1574464790,98,3,2.166667,1,0.564660,2.000000,2.750000,3.000000,3.000000,3.000000,3.000000
1574464791,123,3,2.320000,1,0.556776,2.000000,3.000000,3.000000,3.000000,3.000000,3.000000
1574464792,147,4,2.625000,1,0.646899,3.000000,3.000000,3.750000,4.000000,4.000000,4.000000
1574464793,172,7,2.320000,1,1.107550,2.000000,2.500000,5.800000,7.000000,7.000000,7.000000
1574464794,197,3,1.800000,1,0.500000,2.000000,2.000000,2.700000,3.000000,3.000000,3.000000
1574464795,221,3,1.875000,1,0.448427,2.000000,2.000000,2.750000,3.000000,3.000000,3.000000
1574464796,246,3,2.240000,1,0.663325,2.000000,3.000000,3.000000,3.000000,3.000000,3.000000
1574464797,271,3,2.240000,1,0.522813,2.000000,3.000000,3.000000,3.000000,3.000000,3.000000
1574464798,295,3,2.458333,2,0.508977,2.000000,3.000000,3.000000,3.000000,3.000000,3.000000
1574464799,320,6,2.840000,2,1.067708,3.000000,3.000000,6.000000,6.000000,6.000000,6.000000
1574464800,345,4,2.600000,2,0.577350,3.000000,3.000000,3.700000,4.000000,4.000000,4.000000
1574464801,369,3,2.458333,1,0.588230,2.500000,3.000000,3.000000,3.000000,3.000000,3.000000
1574464802,394,2,1.720000,1,0.458258,2.000000,2.000000,2.000000,2.000000,2.000000,2.000000
1574464803,419,2,1.800000,1,0.408248,2.000000,2.000000,2.000000,2.000000,2.000000,2.000000
1574464804,444,4,2.440000,1,0.711805,2.000000,3.000000,4.000000,4.000000,4.000000,4.000000
1574464805,468,4,2.541667,1,0.658005,3.000000,3.000000,3.750000,4.000000,4.000000,4.000000
1574464806,493,3,2.200000,2,0.408248,2.000000,2.000000,3.000000,3.000000,3.000000,3.000000
1574464807,518,5,1.840000,1,0.850490,2.000000,2.000000,4.400000,5.000000,5.000000,5.000000
1574464808,543,3,1.760000,1,0.522813,2.000000,2.000000,2.700000,3.000000,3.000000,3.000000
1574464809,567,3,1.750000,1,0.531610,2.000000,2.000000,2.750000,3.000000,3.000000,3.000000
1574464810,592,3,1.760000,1,0.597216,2.000000,2.000000,3.000000,3.000000,3.000000,3.000000
1574464811,617,2,1.800000,1,0.408248,2.000000,2.000000,2.000000,2.000000,2.000000,2.000000
1574464812,641,6,2.000000,1,0.978019,2.000000,2.000000,5.250000,6.000000,6.000000,6.000000
1574464813,666,2,1.680000,1,0.476095,2.000000,2.000000,2.000000,2.000000,2.000000,2.000000
1574464814,691,6,2.160000,1,0.943398,2.000000,2.000000,5.100000,6.000000,6.000000,6.000000
1574464815,716,3,1.720000,1,0.541603,2.000000,2.000000,2.700000,3.000000,3.000000,3.000000
1574464816,741,3,2.240000,1,0.597216,2.000000,3.000000,3.000000,3.000000,3.000000,3.000000
1574464817,765,3,1.750000,1,0.531610,2.000000,2.000000,2.750000,3.000000,3.000000,3.000000
1574464818,790,4,2.720000,2,0.613732,3.000000,3.000000,4.000000,4.000000,4.000000,4.000000
1574464819,815,4,2.680000,1,0.802081,3.000000,3.000000,4.000000,4.000000,4.000000,4.000000
1574464820,840,3,2.320000,1,0.627163,2.000000,3.000000,3.000000,3.000000,3.000000,3.000000
1574464821,864,3,2.000000,1,0.510754,2.000000,2.000000,3.000000,3.000000,3.000000,3.000000
1574464822,889,3,2.240000,2,0.435890,2.000000,2.500000,3.000000,3.000000,3.000000,3.000000
1574464823,914,10,2.440000,1,1.635033,2.000000,2.000000,7.900000,10.000000,10.000000,10.000000
1574464824,939,3,1.880000,1,0.525991,2.000000,2.000000,3.000000,3.000000,3.000000,3.000000
1574464825,963,3,1.833333,1,0.637022,2.000000,2.000000,3.000000,3.000000,3.000000,3.000000
1574464826,988,4,2.560000,1,0.820569,2.000000,3.000000,4.000000,4.000000,4.000000,4.000000
1574464827,1013,4,2.120000,1,0.881287,2.000000,3.000000,4.000000,4.000000,4.000000,4.000000
1574464828,1038,3,2.440000,1,0.583095,2.000000,3.000000,3.000000,3.000000,3.000000,3.000000
1574464829,1062,4,2.583333,2,0.583592,3.000000,3.000000,3.750000,4.000000,4.000000,4.000000
1574464830,1087,4,2.680000,2,0.627163,3.000000,3.000000,4.000000,4.000000,4.000000,4.000000
1574464831,1112,4,2.520000,2,0.585947,2.000000,3.000000,3.700000,4.000000,4.000000,4.000000
1574464832,1137,3,2.240000,1,0.522813,2.000000,3.000000,3.000000,3.000000,3.000000,3.000000
1574464833,1162,3,2.000000,1,0.408248,2.000000,2.000000,3.000000,3.000000,3.000000,3.000000
1574464834,1186,3,2.125000,1,0.536697,2.000000,2.000000,3.000000,3.000000,3.000000,3.000000
1574464835,1211,3,2.560000,2,0.506623,3.000000,3.000000,3.000000,3.000000,3.000000,3.000000
1574464836,1236,9,2.720000,2,1.429452,2.000000,3.000000,7.500000,9.000000,9.000000,9.000000
1574464837,1261,3,2.240000,1,0.597216,2.000000,3.000000,3.000000,3.000000,3.000000,3.000000
1574464838,1285,4,2.791667,2,0.508977,3.000000,3.000000,3.750000,4.000000,4.000000,4.000000
1574464839,1310,4,2.760000,2,0.663325,3.000000,3.000000,4.000000,4.000000,4.000000,4.000000
1574464840,1335,3,2.280000,1,0.541603,2.000000,3.000000,3.000000,3.000000,3.000000,3.000000
1574464841,1360,3,2.320000,1,0.556776,2.000000,3.000000,3.000000,3.000000,3.000000,3.000000
1574464842,1385,3,2.360000,2,0.489898,2.000000,3.000000,3.000000,3.000000,3.000000,3.000000
1574464843,1409,4,2.375000,2,0.575779,2.000000,3.000000,3.750000,4.000000,4.000000,4.000000
