t,count,max,mean,min,stddev,p50,p75,p95,p98,p99,p999
1574464808,1333,6,2.360000,1,1.036018,2.000000,3.000000,5.400000,6.000000,6.000000,6.000000
1574464809,1357,7,2.583333,1,1.100066,2.000000,3.000000,6.000000,7.000000,7.000000,7.000000
1574464810,1382,17,3.640000,2,2.855988,3.000000,4.000000,13.100000,17.000000,17.000000,17.000000
1574464811,1407,14,3.320000,2,2.357965,3.000000,4.000000,11.000000,14.000000,14.000000,14.000000
1574464812,1432,3,1.880000,1,0.525991,2.000000,2.000000,3.000000,3.000000,3.000000,3.000000
1574464813,1456,2,1.666667,1,0.481543,2.000000,2.000000,2.000000,2.000000,2.000000,2.000000
1574464814,1481,2,1.720000,1,0.458258,2.000000,2.000000,2.000000,2.000000,2.000000,2.000000
1574464815,1506,3,1.960000,1,0.611010,2.000000,2.000000,3.000000,3.000000,3.000000,3.000000
1574464816,1530,3,1.916667,1,0.583592,2.000000,2.000000,3.000000,3.000000,3.000000,3.000000
1574464817,1555,2,1.760000,1,0.435890,2.000000,2.000000,2.000000,2.000000,2.000000,2.000000
1574464818,1580,3,2.080000,1,0.493288,2.000000,2.000000,3.000000,3.000000,3.000000,3.000000
1574464819,1605,22,3.040000,1,3.984135,2.000000,3.000000,16.300000,22.000000,22.000000,22.000000
1574464820,1629,7,2.000000,1,1.215838,2.000000,2.000000,6.000000,7.000000,7.000000,7.000000
1574464821,1654,2,1.520000,1,0.509902,2.000000,2.000000,2.000000,2.000000,2.000000,2.000000
1574464822,1679,2,1.640000,1,0.489898,2.000000,2.000000,2.000000,2.000000,2.000000,2.000000
1574464823,1704,2,1.560000,1,0.506623,2.000000,2.000000,2.000000,2.000000,2.000000,2.000000
1574464824,1728,19,2.708333,1,3.519871,2.000000,2.000000,15.000000,19.000000,19.000000,19.000000
1574464825,1753,10,2.560000,1,1.660321,2.000000,3.000000,7.900000,10.000000,10.000000,10.000000
1574464826,1778,3,2.200000,1,0.577350,2.000000,3.000000,3.000000,3.000000,3.000000,3.000000
1574464827,1803,9,2.800000,2,1.414214,3.000000,3.000000,7.500000,9.000000,9.000000,9.000000
1574464828,1827,4,3.000000,2,0.659380,3.000000,3.000000,4.000000,4.000000,4.000000,4.000000
1574464829,1852,14,2.720000,1,2.424184,2.000000,3.000000,11.000000,14.000000,14.000000,14.000000
1574464830,1877,27,3.080000,2,4.990992,2.000000,2.000000,19.800000,27.000000,27.000000,27.000000
1574464831,1902,3,1.920000,1,0.640312,2.000000,2.000000,3.000000,3.000000,3.000000,3.000000
1574464832,1926,14,2.708333,1,2.475606,2.000000,3.000000,11.250000,14.000000,14.000000,14.000000
1574464833,1951,12,2.040000,1,2.130728,2.000000,2.000000,9.000000,12.000000,12.000000,12.000000
1574464834,1976,3,1.840000,1,0.472582,2.000000,2.000000,2.700000,3.000000,3.000000,3.000000
1574464835,2001,9,2.320000,1,1.519868,2.000000,2.500000,7.200000,9.000000,9.000000,9.000000
1574464836,2025,3,2.083333,1,0.408248,2.000000,2.000000,3.000000,3.000000,3.000000,3.000000
1574464837,2050,3,1.880000,1,0.439697,2.000000,2.000000,2.700000,3.000000,3.000000,3.000000
1574464838,2075,9,2.160000,1,1.518771,2.000000,2.000000,7.200000,9.000000,9.000000,9.000000
1574464839,2099,25,3.333333,2,4.696591,2.000000,3.000000,20.250000,25.000000,25.000000,25.000000
1574464840,2124,10,2.840000,2,1.572683,3.000000,3.000000,7.900000,10.000000,10.000000,10.000000
1574464841,2149,3,2.160000,1,0.624500,2.000000,3.000000,3.000000,3.000000,3.000000,3.000000
1574464842,2174,22,3.160000,1,3.986226,2.000000,3.000000,16.600000,22.000000,22.000000,22.000000
1574464843,2198,3,2.291667,1,0.550033,2.000000,3.000000,3.000000,3.000000,3.000000,3.000000
1574464844,2223,5,3.280000,1,1.100000,4.000000,4.000000,5.000000,5.000000,5.000000,5.000000
1574464845,2248,11,3.560000,2,1.781385,3.000000,4.000000,9.200000,11.000000,11.000000,11.000000
