t,count,max,mean,min,stddev,p50,p75,p95,p98,p99,p999
1574467881,25,17,3.880000,2,3.100000,3.000000,4.000000,14.300000,17.000000,17.000000,17.000000
1574467882,49,6,2.833333,2,1.239448,2.000000,3.000000,5.750000,6.000000,6.000000,6.000000
1574467883,74,18,3.520000,2,3.070288,3.000000,3.000000,13.800000,18.000000,18.000000,18.000000
1574467884,98,21,4.333333,1,5.027461,3.000000,3.000000,20.250000,21.000000,21.000000,21.000000
1574467885,123,5,3.120000,2,0.832666,3.000000,4.000000,4.700000,5.000000,5.000000,5.000000
1574467886,147,4,2.625000,1,0.824226,2.500000,3.000000,4.000000,4.000000,4.000000,4.000000
1574467887,172,3,2.160000,1,0.472582,2.000000,2.000000,3.000000,3.000000,3.000000,3.000000
1574467888,197,3,1.960000,1,0.454606,2.000000,2.000000,3.000000,3.000000,3.000000,3.000000
1574467889,221,8,2.125000,1,1.295897,2.000000,2.000000,6.500000,8.000000,8.000000,8.000000
1574467890,246,4,2.240000,1,0.663325,2.000000,3.000000,3.700000,4.000000,4.000000,4.000000
1574467891,271,3,2.200000,1,0.500000,2.000000,2.500000,3.000000,3.000000,3.000000,3.000000
1574467892,295,6,3.000000,2,1.142080,3.000000,3.000000,6.000000,6.000000,6.000000,6.000000
1574467893,320,8,2.160000,1,1.247664,2.000000,2.000000,6.200000,8.000000,8.000000,8.000000
1574467894,345,6,2.000000,1,0.957427,2.000000,2.000000,5.100000,6.000000,6.000000,6.000000
1574467895,369,2,1.791667,1,0.414851,2.000000,2.000000,2.000000,2.000000,2.000000,2.000000
1574467896,394,3,1.920000,1,0.493288,2.000000,2.000000,3.000000,3.000000,3.000000,3.000000
1574467897,419,3,2.080000,1,0.493288,2.000000,2.000000,3.000000,3.000000,3.000000,3.000000
1574467898,444,2,1.680000,1,0.476095,2.000000,2.000000,2.000000,2.000000,2.000000,2.000000
1574467899,468,3,1.916667,1,0.503610,2.000000,2.000000,3.000000,3.000000,3.000000,3.000000
1574467900,493,2,1.640000,1,0.489898,2.000000,2.000000,2.000000,2.000000,2.000000,2.000000
1574467901,518,3,2.120000,1,0.600000,2.000000,2.500000,3.000000,3.000000,3.000000,3.000000
1574467902,543,3,1.960000,1,0.351188,2.000000,2.000000,2.700000,3.000000,3.000000,3.000000
1574467903,567,2,1.666667,1,0.481543,2.000000,2.000000,2.000000,2.000000,2.000000,2.000000
1574467904,592,34,2.800000,1,6.519202,2.000000,2.000000,24.400000,34.000000,34.000000,34.000000
1574467905,617,2,1.640000,1,0.489898,2.000000,2.000000,2.000000,2.000000,2.000000,2.000000
1574467906,642,2,1.680000,1,0.476095,2.000000,2.000000,2.000000,2.000000,2.000000,2.000000
1574467907,666,3,1.958333,1,0.464306,2.000000,2.000000,3.000000,3.000000,3.000000,3.000000
1574467908,691,30,2.800000,1,5.686241,2.000000,2.000000,21.600000,30.000000,30.000000,30.000000
1574467909,716,3,1.960000,1,0.454606,2.000000,2.000000,3.000000,3.000000,3.000000,3.000000
1574467910,741,2,1.720000,1,0.458258,2.000000,2.000000,2.000000,2.000000,2.000000,2.000000
1574467911,765,2,1.583333,1,0.503610,2.000000,2.000000,2.000000,2.000000,2.000000,2.000000
1574467912,790,3,1.880000,1,0.439697,2.000000,2.000000,2.700000,3.000000,3.000000,3.000000
1574467913,815,3,1.560000,1,0.650641,1.000000,2.000000,3.000000,3.000000,3.000000,3.000000
1574467914,840,3,1.800000,1,0.500000,2.000000,2.000000,2.700000,3.000000,3.000000,3.000000
1574467915,865,2,1.640000,1,0.489898,2.000000,2.000000,2.000000,2.000000,2.000000,2.000000
1574467916,889,30,2.791667,1,5.823335,2.000000,2.000000,23.250000,30.000000,30.000000,30.000000
1574467917,914,9,1.960000,1,1.540563,2.000000,2.000000,6.900000,9.000000,9.000000,9.000000
1574467918,938,2,1.458333,1,0.508977,1.000000,2.000000,2.000000,2.000000,2.000000,2.000000
1574467919,963,23,2.640000,1,4.290299,2.000000,2.000000,17.000000,23.000000,23.000000,23.000000
1574467920,988,3,1.720000,1,0.678233,2.000000,2.000000,3.000000,3.000000,3.000000,3.000000
1574467921,1013,3,1.880000,1,0.439697,2.000000,2.000000,2.700000,3.000000,3.000000,3.000000
1574467922,1037,3,2.125000,1,0.612372,2.000000,2.750000,3.000000,3.000000,3.000000,3.000000
1574467923,1062,29,3.600000,1,5.461990,2.000000,3.000000,22.400000,29.000000,29.000000,29.000000
1574467924,1087,3,2.240000,1,0.663325,2.000000,3.000000,3.000000,3.000000,3.000000,3.000000
1574467925,1112,6,1.880000,1,0.971253,2.000000,2.000000,4.800000,6.000000,6.000000,6.000000
1574467926,1137,9,1.840000,1,1.572683,2.000000,2.000000,6.900000,9.000000,9.000000,9.000000
1574467927,1161,5,1.750000,1,0.846990,2.000000,2.000000,4.250000,5.000000,5.000000,5.000000
1574467928,1186,3,1.760000,1,0.522813,2.000000,2.000000,2.700000,3.000000,3.000000,3.000000
1574467929,1210,2,1.500000,1,0.510754,1.500000,2.000000,2.000000,2.000000,2.000000,2.000000
1574467930,1236,32,3.038462,1,5.936199,2.000000,2.000000,21.850000,32.000000,32.000000,32.000000
1574467931,1261,2,1.720000,1,0.458258,2.000000,2.000000,2.000000,2.000000,2.000000,2.000000
1574467932,1285,3,1.708333,1,0.550033,2.000000,2.000000,2.750000,3.000000,3.000000,3.000000
1574467933,1310,16,2.440000,1,2.858904,2.000000,2.000000,12.100000,16.000000,16.000000,16.000000
1574467934,1335,3,1.720000,1,0.541603,2.000000,2.000000,2.700000,3.000000,3.000000,3.000000
1574467935,1360,2,1.640000,1,0.489898,2.000000,2.000000,2.000000,2.000000,2.000000,2.000000
1574467936,1385,37,2.880000,1,7.125775,1.000000,2.000000,26.500000,37.000000,37.000000,37.000000
1574467937,1409,6,1.750000,1,1.032094,2.000000,2.000000,5.000000,6.000000,6.000000,6.000000
1574467938,1434,3,1.800000,1,0.500000,2.000000,2.000000,2.700000,3.000000,3.000000,3.000000
1574467939,1459,191,33.240000,1,56.924131,2.000000,50.000000,181.100000,191.000000,191.000000,191.000000
1574467940,1484,2,1.720000,1,0.458258,2.000000,2.000000,2.000000,2.000000,2.000000,2.000000
1574467941,1509,2,1.760000,1,0.435890,2.000000,2.000000,2.000000,2.000000,2.000000,2.000000
1574467942,1533,10,2.083333,1,1.742479,2.000000,2.000000,8.000000,10.000000,10.000000,10.000000
1574467943,1558,3,1.400000,1,0.577350,1.000000,2.000000,2.700000,3.000000,3.000000,3.000000
1574467944,1583,2,1.680000,1,0.476095,2.000000,2.000000,2.000000,2.000000,2.000000,2.000000
1574467945,1608,2,1.720000,1,0.458258,2.000000,2.000000,2.000000,2.000000,2.000000,2.000000
1574467946,1633,2,1.600000,1,0.500000,2.000000,2.000000,2.000000,2.000000,2.000000,2.000000
1574467947,1657,2,1.416667,1,0.503610,1.000000,2.000000,2.000000,2.000000,2.000000,2.000000
1574467948,1682,3,1.560000,1,0.583095,2.000000,2.000000,2.700000,3.000000,3.000000,3.000000
1574467949,1707,2,1.640000,1,0.489898,2.000000,2.000000,2.000000,2.000000,2.000000,2.000000
1574467950,1732,4,2.160000,1,0.943398,2.000000,3.000000,4.000000,4.000000,4.000000,4.000000
1574467951,1756,9,6.291667,3,2.010390,7.000000,8.000000,9.000000,9.000000,9.000000,9.000000
1574467952,1781,9,5.840000,4,1.312758,5.000000,6.500000,8.700000,9.000000,9.000000,9.000000
1574467953,1806,6,3.440000,2,1.227464,3.000000,4.000000,6.000000,6.000000,6.000000,6.000000
1574467954,1831,8,4.640000,2,1.496663,5.000000,6.000000,7.400000,8.000000,8.000000,8.000000
1574467955,1856,8,4.160000,2,1.491085,4.000000,5.000000,7.400000,8.000000,8.000000,8.000000
1574467956,1881,8,5.800000,3,1.190238,6.000000,7.000000,8.000000,8.000000,8.000000,8.000000
1574467957,1905,6,4.958333,4,0.624094,5.000000,5.000000,6.000000,6.000000,6.000000,6.000000
1574467958,1930,7,5.360000,4,0.907377,5.000000,6.000000,7.000000,7.000000,7.000000,7.000000
1574467959,1955,7,5.080000,3,1.037625,5.000000,6.000000,7.000000,7.000000,7.000000,7.000000
1574467960,1980,5,3.440000,2,0.820569,3.000000,4.000000,5.000000,5.000000,5.000000,5.000000
1574467961,2005,4,2.480000,1,0.653197,2.000000,3.000000,3.700000,4.000000,4.000000,4.000000
1574467962,2030,4,2.800000,1,0.763763,3.000000,3.000000,4.000000,4.000000,4.000000,4.000000
1574467963,2054,2,1.625000,1,0.494535,2.000000,2.000000,2.000000,2.000000,2.000000,2.000000
1574467964,2079,3,1.720000,1,0.613732,2.000000,2.000000,3.000000,3.000000,3.000000,3.000000
1574467965,2104,4,2.400000,1,0.763763,2.000000,3.000000,3.700000,4.000000,4.000000,4.000000
1574467966,2129,4,1.840000,1,0.746101,2.000000,2.000000,3.700000,4.000000,4.000000,4.000000
