initial_timestamp,duration
1574455549761,20
1574455549812,11
1574455549853,3
1574455549894,3
1574455549935,3
1574455549976,3
1574455550017,3
1574455550058,3
1574455550099,3
1574455550140,3
1574455550181,3
1574455550222,3
1574455550262,4
1574455550303,3
1574455550344,2
1574455550385,2
1574455550426,2
1574455550467,2
1574455550508,2
1574455550548,2
1574455550589,2
1574455550630,2
1574455550670,2
1574455550711,2
1574455550752,2
1574455550792,2
1574455550833,3
1574455550874,3
1574455550915,2
1574455550956,2
1574455550997,2
1574455551037,3
1574455551079,2
1574455551120,1
1574455551160,3
1574455551201,3
1574455551242,2
1574455551283,2
1574455551323,3
1574455551364,2
1574455551405,2
1574455551446,2
1574455551487,3
1574455551528,2
1574455551569,2
1574455551610,2
1574455551651,8
1574455551692,2
1574455551732,3
1574455551773,3
1574455551814,3
1574455551855,3
1574455551895,3
1574455551936,2
1574455551976,3
1574455552017,3
1574455552058,2
1574455552098,2
1574455552139,2
1574455552180,2
1574455552221,2
1574455552261,2
1574455552302,2
1574455552343,2
1574455552384,2
1574455552424,2
1574455552465,17
1574455552505,2
1574455552546,2
1574455552587,2
1574455552627,3
1574455552668,2
1574455552709,2
1574455552749,3
1574455552790,2
1574455552831,2
1574455552871,3
1574455552912,2
1574455552953,2
1574455552993,2
1574455553034,2
1574455553075,2
1574455553115,2
1574455553156,2
1574455553196,3
1574455553237,2
1574455553278,1
1574455553318,2
1574455553359,2
1574455553399,2
1574455553440,2
1574455553481,1
1574455553521,2
1574455553562,2
1574455553602,3
1574455553643,2
1574455553684,2
1574455553724,2
1574455553765,2
1574455553805,2
1574455553846,1
1574455553886,2
1574455553927,1
1574455553967,2
1574455554008,2
1574455554048,3
1574455554089,3
1574455554130,2
1574455554170,2
1574455554211,2
1574455554252,1
1574455554292,2
1574455554333,2
1574455554374,1
1574455554414,2
1574455554455,1
1574455554495,2
1574455554536,2
1574455554576,2
1574455554617,2
1574455554658,2
1574455554698,2
1574455554739,2
1574455554779,2
1574455554820,2
1574455554861,1
1574455554901,3
1574455554942,2
1574455554983,2
1574455555023,2
1574455555064,2
1574455555105,1
1574455555145,2
1574455555185,2
1574455555226,1
1574455555266,2
1574455555307,2
1574455555347,2
1574455555388,2
1574455555428,2
1574455555469,1
1574455555509,2
1574455555550,2
1574455555590,2
1574455555631,1
1574455555671,2
1574455555711,2
1574455555752,2
1574455555792,2
1574455555833,1
1574455555873,2
1574455555914,2
1574455555954,2
1574455555995,2
1574455556035,2
1574455556076,2
1574455556116,3
1574455556157,1
1574455556197,2
1574455556237,2
1574455556278,2
1574455556318,2
1574455556359,2
1574455556400,1
1574455556440,2
1574455556481,2
1574455556521,2
1574455556562,2
1574455556602,2
1574455556643,2
1574455556683,2
1574455556724,2
1574455556764,2
1574455556805,2
1574455556846,1
1574455556886,2
1574455556927,1
1574455556967,2
1574455557008,1
1574455557048,2
1574455557089,1
1574455557129,2
1574455557170,2
1574455557210,2
1574455557251,2
1574455557291,2
1574455557332,2
1574455557373,2
1574455557413,2
1574455557454,1
1574455557494,2
1574455557535,1
1574455557575,2
